Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
231.0,232.0,0.78,0.818,0.906,0.951,0.972,0.985,0.995,1.009,1.028,1.052,1.082,1.116,1.365,1.616,1.841,2.05,2.451,2.824,3.139,3.395,3.619,3.837,4.058,4.856
231.0,233.0,0.71,0.751,0.847,0.9,0.931,0.951,0.97,0.991,1.017,1.047,1.081,1.119,1.384,1.64,1.866,2.075,2.474,2.843,3.153,3.404,3.623,3.834,4.051,4.838
231.0,234.0,0.659,0.702,0.805,0.865,0.903,0.931,0.956,0.984,1.015,1.049,1.088,1.13,1.406,1.666,1.893,2.101,2.497,2.863,3.168,3.413,3.625,3.832,4.045,4.82
231.0,235.0,0.624,0.669,0.776,0.843,0.887,0.921,0.953,0.985,1.021,1.06,1.102,1.146,1.433,1.695,1.921,2.128,2.521,2.882,3.182,3.421,3.628,3.83,4.038,4.803
231.0,236.0,0.602,0.649,0.76,0.832,0.881,0.921,0.957,0.994,1.034,1.076,1.121,1.168,1.462,1.726,1.951,2.156,2.546,2.901,3.195,3.428,3.63,3.827,4.032,4.785
231.0,237.0,0.592,0.641,0.755,0.831,0.885,0.929,0.969,1.01,1.053,1.098,1.145,1.195,1.494,1.758,1.982,2.185,2.57,2.92,3.208,3.435,3.632,3.825,4.025,4.768
231.0,238.0,0.592,0.642,0.759,0.838,0.896,0.944,0.988,1.032,1.077,1.124,1.174,1.224,1.528,1.791,2.014,2.215,2.595,2.939,3.22,3.442,3.633,3.822,4.019,4.751
231.0,239.0,0.601,0.652,0.771,0.852,0.913,0.964,1.011,1.058,1.105,1.155,1.205,1.257,1.564,1.826,2.046,2.245,2.619,2.957,3.233,3.448,3.635,3.819,4.012,4.733
231.0,240.0,0.618,0.669,0.789,0.873,0.936,0.99,1.039,1.088,1.137,1.188,1.24,1.293,1.601,1.861,2.078,2.275,2.643,2.975,3.244,3.454,3.636,3.817,4.006,4.716
231.0,241.0,0.641,0.693,0.813,0.899,0.964,1.019,1.071,1.121,1.172,1.224,1.276,1.33,1.638,1.896,2.111,2.304,2.667,2.993,3.256,3.46,3.637,3.814,4.0,4.7
231.0,242.0,0.669,0.721,0.842,0.929,0.996,1.053,1.105,1.157,1.209,1.261,1.315,1.368,1.676,1.932,2.144,2.334,2.691,3.01,3.266,3.466,3.638,3.811,3.993,4.683
231.0,243.0,0.702,0.754,0.875,0.963,1.03,1.089,1.142,1.195,1.247,1.301,1.354,1.408,1.715,1.967,2.176,2.363,2.714,3.027,3.277,3.471,3.639,3.808,3.987,4.667
232.0,233.0,0.861,0.903,1.042,1.138,1.212,1.277,1.339,1.401,1.465,1.53,1.596,1.663,2.039,2.355,2.629,2.883,3.347,3.725,4.001,4.204,4.378,4.55,4.729,5.391
