Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
231.0,232.0,0.832,0.746,0.858,0.926,0.966,0.989,1.003,1.015,1.027,1.042,1.061,1.083,1.289,1.545,1.796,2.026,2.436,2.801,3.127,3.409,3.642,3.832,3.995,4.837
231.0,233.0,0.793,0.699,0.813,0.885,0.93,0.958,0.977,0.994,1.01,1.029,1.051,1.076,1.292,1.552,1.804,2.034,2.445,2.81,3.134,3.411,3.637,3.819,3.975,4.783
231.0,234.0,0.781,0.684,0.8,0.875,0.922,0.954,0.978,0.998,1.017,1.039,1.064,1.092,1.314,1.574,1.823,2.052,2.458,2.819,3.138,3.409,3.629,3.805,3.955,4.729
231.0,235.0,0.791,0.694,0.81,0.886,0.936,0.971,0.997,1.02,1.042,1.066,1.093,1.122,1.348,1.606,1.851,2.075,2.475,2.829,3.142,3.407,3.62,3.791,3.934,4.677
231.0,236.0,0.819,0.722,0.838,0.915,0.967,1.003,1.031,1.056,1.08,1.106,1.133,1.164,1.39,1.644,1.884,2.104,2.494,2.84,3.145,3.403,3.611,3.776,3.914,4.626
231.0,237.0,0.86,0.766,0.88,0.957,1.009,1.047,1.077,1.103,1.128,1.154,1.183,1.213,1.439,1.687,1.921,2.135,2.515,2.852,3.149,3.4,3.601,3.76,3.893,4.577
231.0,238.0,0.912,0.82,0.932,1.008,1.061,1.099,1.13,1.156,1.183,1.209,1.238,1.269,1.491,1.734,1.962,2.169,2.537,2.864,3.153,3.396,3.592,3.745,3.873,4.529
231.0,239.0,0.972,0.883,0.992,1.068,1.12,1.158,1.189,1.216,1.242,1.269,1.298,1.329,1.547,1.783,2.003,2.204,2.561,2.878,3.157,3.393,3.582,3.73,3.852,4.482
231.0,240.0,1.038,0.952,1.059,1.132,1.184,1.222,1.252,1.28,1.306,1.333,1.361,1.391,1.604,1.833,2.047,2.241,2.585,2.892,3.162,3.39,3.572,3.715,3.833,4.437
231.0,241.0,1.109,1.026,1.129,1.201,1.251,1.289,1.319,1.346,1.372,1.398,1.426,1.456,1.663,1.884,2.09,2.277,2.61,2.906,3.167,3.387,3.562,3.7,3.813,4.394
231.0,242.0,1.182,1.103,1.203,1.272,1.321,1.358,1.387,1.414,1.439,1.465,1.492,1.521,1.721,1.935,2.134,2.315,2.635,2.92,3.172,3.384,3.553,3.685,3.794,4.351
231.0,243.0,1.258,1.181,1.278,1.345,1.392,1.428,1.457,1.482,1.507,1.532,1.558,1.586,1.78,1.986,2.178,2.351,2.66,2.934,3.177,3.381,3.544,3.671,3.775,4.31
