Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
231.0,232.0,0.942,0.856,0.91,0.943,0.963,0.974,0.981,0.988,0.999,1.013,1.033,1.059,1.3,1.594,1.865,2.105,2.519,2.879,3.186,3.438,3.642,3.808,3.951,4.736
231.0,233.0,0.874,0.803,0.863,0.903,0.929,0.946,0.96,0.973,0.989,1.008,1.032,1.062,1.317,1.613,1.884,2.121,2.53,2.884,3.186,3.433,3.631,3.793,3.93,4.69
231.0,234.0,0.825,0.767,0.831,0.877,0.908,0.931,0.95,0.968,0.988,1.011,1.039,1.071,1.336,1.635,1.903,2.138,2.54,2.888,3.184,3.426,3.619,3.776,3.909,4.644
231.0,235.0,0.792,0.745,0.813,0.862,0.898,0.926,0.949,0.971,0.994,1.021,1.052,1.087,1.359,1.657,1.923,2.154,2.55,2.892,3.182,3.418,3.606,3.759,3.888,4.599
231.0,236.0,0.774,0.735,0.806,0.859,0.898,0.929,0.956,0.981,1.008,1.037,1.07,1.106,1.384,1.681,1.944,2.171,2.56,2.895,3.179,3.41,3.593,3.741,3.866,4.554
231.0,237.0,0.767,0.736,0.809,0.864,0.907,0.94,0.969,0.997,1.026,1.057,1.092,1.13,1.41,1.705,1.965,2.188,2.569,2.897,3.175,3.4,3.578,3.722,3.844,4.511
231.0,238.0,0.77,0.746,0.821,0.878,0.922,0.958,0.989,1.019,1.049,1.082,1.118,1.157,1.438,1.73,1.985,2.205,2.578,2.899,3.171,3.39,3.564,3.704,3.822,4.469
231.0,239.0,0.783,0.764,0.839,0.898,0.943,0.98,1.013,1.045,1.076,1.11,1.147,1.186,1.468,1.756,2.006,2.221,2.587,2.9,3.166,3.38,3.549,3.685,3.799,4.427
231.0,240.0,0.803,0.788,0.864,0.923,0.969,1.008,1.042,1.074,1.107,1.141,1.178,1.218,1.498,1.781,2.027,2.238,2.595,2.901,3.16,3.369,3.534,3.666,3.777,4.386
231.0,241.0,0.83,0.818,0.894,0.953,1.0,1.039,1.073,1.106,1.139,1.174,1.212,1.251,1.528,1.807,2.048,2.253,2.603,2.902,3.154,3.358,3.518,3.647,3.755,4.346
231.0,242.0,0.862,0.853,0.928,0.987,1.034,1.073,1.108,1.141,1.174,1.209,1.247,1.286,1.559,1.832,2.068,2.269,2.61,2.901,3.148,3.347,3.502,3.627,3.732,4.307
231.0,243.0,0.899,0.892,0.966,1.024,1.071,1.11,1.145,1.178,1.211,1.246,1.283,1.322,1.59,1.858,2.088,2.284,2.616,2.901,3.141,3.335,3.487,3.608,3.71,4.269
232.0,233.0,0.913,0.934,1.05,1.143,1.219,1.284,1.342,1.396,1.45,1.506,1.562,1.622,2.001,2.356,2.653,2.902,3.322,3.677,3.974,4.21,4.395,4.545,4.673,5.34
232.0,234.0,0.986,1.004,1.116,1.206,1.28,1.342,1.397,1.45,1.502,1.555,1.61,1.667,2.036,2.383,2.673,2.917,3.327,3.676,3.966,4.197,4.379,4.527,4.652,5.308
232.0,235.0,1.055,1.071,1.18,1.267,1.338,1.397,1.451,1.501,1.551,1.603,1.656,1.711,2.07,2.408,2.692,2.93,3.333,3.674,3.958,4.185,4.364,4.508,4.631,5.276
232.0,236.0,1.121,1.136,1.241,1.325,1.393,1.451,1.502,1.551,1.599,1.648,1.7,1.753,2.102,2.432,2.71,2.944,3.337,3.671,3.95,4.173,4.348,4.49,4.611,5.244
232.0,237.0,1.185,1.197,1.3,1.381,1.447,1.502,1.552,1.598,1.645,1.692,1.742,1.794,2.133,2.456,2.727,2.956,3.342,3.669,3.942,4.161,4.333,4.472,4.591,5.213
232.0,238.0,1.247,1.257,1.356,1.435,1.498,1.552,1.599,1.644,1.689,1.735,1.783,1.833,2.163,2.478,2.744,2.968,3.346,3.666,3.934,4.148,4.317,4.454,4.571,5.182
232.0,239.0,1.306,1.314,1.41,1.487,1.548,1.599,1.645,1.688,1.731,1.776,1.822,1.871,2.192,2.5,2.759,2.979,3.349,3.663,3.926,4.136,4.302,4.437,4.551,5.152
232.0,240.0,1.363,1.37,1.463,1.537,1.596,1.645,1.689,1.731,1.772,1.815,1.86,1.907,2.22,2.521,2.775,2.989,3.352,3.66,3.918,4.124,4.287,4.419,4.531,5.122
232.0,241.0,1.418,1.423,1.514,1.585,1.642,1.69,1.732,1.772,1.812,1.853,1.896,1.942,2.247,2.54,2.789,2.999,3.355,3.657,3.91,4.112,4.272,4.401,4.512,5.093
232.0,242.0,1.472,1.475,1.563,1.632,1.687,1.733,1.773,1.811,1.85,1.89,1.932,1.976,2.272,2.559,2.803,3.009,3.357,3.653,3.901,4.1,4.256,4.384,4.493,5.064
232.0,243.0,1.523,1.525,1.61,1.677,1.73,1.774,1.813,1.85,1.887,1.925,1.966,2.008,2.297,2.578,2.816,3.018,3.359,3.65,3.893,4.087,4.241,4.367,4.474,5.035
232.0,244.0,1.573,1.573,1.656,1.72,1.771,1.814,1.851,1.887,1.922,1.959,1.998,2.04,2.321,2.595,2.828,3.026,3.361,3.646,3.884,4.075,4.226,4.35,4.455,5.007
233.0,234.0,1.019,1.073,1.193,1.295,1.382,1.459,1.53,1.597,1.662,1.727,1.793,1.859,2.257,2.611,2.9,3.141,3.541,3.88,4.164,4.389,4.561,4.696,4.807,5.412
233.0,235.0,1.081,1.138,1.257,1.358,1.445,1.522,1.593,1.66,1.725,1.789,1.854,1.92,2.312,2.658,2.94,3.174,3.563,3.892,4.168,4.386,4.552,4.683,4.79,5.373
233.0,236.0,1.149,1.207,1.324,1.424,1.51,1.587,1.657,1.724,1.788,1.852,1.917,1.981,2.366,2.704,2.979,3.206,3.584,3.904,4.171,4.382,4.543,4.669,4.772,5.335
233.0,237.0,1.22,1.279,1.394,1.492,1.578,1.653,1.723,1.789,1.852,1.916,1.979,2.042,2.419,2.749,3.016,3.237,3.603,3.914,4.173,4.378,4.534,4.655,4.755,5.298
233.0,238.0,1.294,1.353,1.466,1.562,1.646,1.721,1.789,1.854,1.917,1.979,2.041,2.103,2.471,2.792,3.052,3.266,3.622,3.923,4.174,4.372,4.523,4.641,4.737,5.262
233.0,239.0,1.37,1.429,1.539,1.633,1.715,1.788,1.855,1.919,1.98,2.041,2.102,2.163,2.522,2.834,3.086,3.294,3.639,3.931,4.174,4.366,4.513,4.626,4.72,5.226
233.0,240.0,1.447,1.505,1.613,1.705,1.785,1.856,1.922,1.984,2.044,2.103,2.162,2.222,2.571,2.874,3.119,3.32,3.655,3.938,4.174,4.36,4.501,4.611,4.702,5.192
233.0,241.0,1.525,1.582,1.687,1.776,1.854,1.923,1.987,2.047,2.106,2.164,2.221,2.279,2.618,2.912,3.15,3.345,3.67,3.944,4.173,4.353,4.49,4.596,4.684,5.158
233.0,242.0,1.603,1.659,1.76,1.847,1.922,1.99,2.052,2.11,2.167,2.223,2.279,2.335,2.664,2.949,3.179,3.369,3.683,3.949,4.17,4.345,4.478,4.581,4.666,5.125
233.0,243.0,1.681,1.735,1.833,1.917,1.99,2.055,2.115,2.172,2.227,2.281,2.335,2.389,2.708,2.984,3.207,3.391,3.695,3.953,4.168,4.337,4.466,4.566,4.648,5.093
233.0,244.0,1.758,1.81,1.905,1.986,2.056,2.119,2.177,2.232,2.285,2.337,2.39,2.442,2.75,3.018,3.233,3.412,3.706,3.956,4.164,4.328,4.453,4.55,4.63,5.062
233.0,245.0,1.834,1.883,1.975,2.053,2.121,2.182,2.238,2.29,2.341,2.392,2.442,2.493,2.79,3.049,3.258,3.431,3.717,3.958,4.16,4.319,4.44,4.534,4.612,5.031
234.0,235.0,1.242,1.297,1.408,1.503,1.585,1.658,1.725,1.788,1.849,1.91,1.971,2.033,2.401,2.725,2.989,3.207,3.569,3.877,4.136,4.34,4.496,4.618,4.718,5.26
234.0,236.0,1.313,1.369,1.478,1.572,1.652,1.724,1.79,1.852,1.913,1.973,2.033,2.093,2.453,2.769,3.025,3.237,3.589,3.887,4.138,4.336,4.487,4.604,4.701,5.224
234.0,237.0,1.387,1.443,1.55,1.641,1.72,1.791,1.855,1.917,1.976,2.035,2.094,2.153,2.504,2.811,3.06,3.266,3.607,3.896,4.139,4.331,4.477,4.591,4.684,5.189
234.0,238.0,1.463,1.518,1.622,1.711,1.789,1.858,1.921,1.981,2.039,2.097,2.154,2.212,2.554,2.852,3.094,3.293,3.624,3.904,4.139,4.325,4.467,4.576,4.666,5.155
234.0,239.0,1.539,1.593,1.695,1.782,1.857,1.924,1.986,2.044,2.101,2.157,2.213,2.269,2.602,2.891,3.125,3.319,3.639,3.911,4.139,4.319,4.456,4.562,4.649,5.122
234.0,240.0,1.616,1.669,1.768,1.852,1.925,1.99,2.05,2.107,2.162,2.217,2.271,2.326,2.648,2.929,3.156,3.343,3.654,3.917,4.138,4.312,4.445,4.548,4.632,5.089
234.0,241.0,1.693,1.744,1.84,1.921,1.992,2.055,2.113,2.168,2.222,2.275,2.327,2.38,2.693,2.965,3.184,3.366,3.667,3.922,4.136,4.304,4.433,4.533,4.614,5.058
234.0,242.0,1.769,1.818,1.911,1.99,2.058,2.119,2.175,2.229,2.28,2.331,2.382,2.433,2.735,2.999,3.212,3.387,3.679,3.926,4.133,4.297,4.421,4.518,4.597,5.027
234.0,243.0,1.844,1.892,1.981,2.057,2.123,2.182,2.236,2.287,2.337,2.386,2.435,2.484,2.776,3.031,3.237,3.407,3.69,3.929,4.13,4.288,4.409,4.503,4.58,4.997
234.0,244.0,1.919,1.963,2.05,2.123,2.186,2.243,2.295,2.344,2.392,2.439,2.486,2.534,2.816,3.062,3.261,3.426,3.7,3.932,4.126,4.28,4.397,4.488,4.562,4.968
234.0,245.0,1.992,2.034,2.117,2.187,2.248,2.302,2.352,2.399,2.445,2.49,2.536,2.581,2.853,3.091,3.284,3.443,3.708,3.933,4.122,4.271,4.384,4.473,4.545,4.939
234.0,246.0,2.063,2.102,2.182,2.249,2.308,2.36,2.407,2.452,2.496,2.54,2.583,2.627,2.888,3.118,3.305,3.459,3.716,3.934,4.117,4.261,4.372,4.458,4.528,4.911
235.0,236.0,1.394,1.43,1.529,1.611,1.682,1.743,1.8,1.853,1.906,1.958,2.011,2.065,2.397,2.697,2.945,3.153,3.499,3.794,4.042,4.239,4.391,4.51,4.608,5.145
235.0,237.0,1.449,1.487,1.585,1.666,1.736,1.798,1.854,1.907,1.959,2.011,2.064,2.117,2.443,2.737,2.978,3.18,3.516,3.802,4.043,4.234,4.382,4.497,4.591,5.109
235.0,238.0,1.508,1.548,1.644,1.724,1.793,1.854,1.91,1.962,2.014,2.065,2.117,2.17,2.489,2.775,3.01,3.206,3.532,3.81,4.044,4.229,4.371,4.483,4.574,5.074
235.0,239.0,1.571,1.61,1.705,1.784,1.851,1.911,1.966,2.018,2.069,2.119,2.17,2.222,2.533,2.812,3.041,3.231,3.547,3.817,4.043,4.223,4.361,4.469,4.557,5.04
235.0,240.0,1.635,1.675,1.767,1.844,1.91,1.969,2.023,2.074,2.123,2.173,2.223,2.273,2.577,2.848,3.07,3.254,3.561,3.823,4.042,4.216,4.35,4.454,4.54,5.007
235.0,241.0,1.701,1.74,1.83,1.905,1.97,2.027,2.08,2.129,2.178,2.226,2.275,2.324,2.619,2.882,3.098,3.276,3.574,3.828,4.041,4.209,4.339,4.439,4.522,4.974
235.0,242.0,1.768,1.806,1.893,1.966,2.029,2.085,2.136,2.184,2.232,2.278,2.325,2.373,2.66,2.915,3.124,3.297,3.586,3.832,4.038,4.202,4.327,4.425,4.505,4.942
235.0,243.0,1.835,1.872,1.956,2.027,2.088,2.142,2.192,2.239,2.284,2.33,2.375,2.421,2.7,2.947,3.149,3.317,3.597,3.835,4.035,4.194,4.315,4.41,4.487,4.912
235.0,244.0,1.902,1.938,2.019,2.088,2.147,2.199,2.247,2.292,2.336,2.38,2.424,2.469,2.738,2.977,3.173,3.336,3.607,3.838,4.031,4.185,4.303,4.394,4.47,4.881
235.0,245.0,1.968,2.003,2.081,2.147,2.204,2.254,2.3,2.344,2.386,2.429,2.471,2.514,2.774,3.006,3.196,3.353,3.616,3.84,4.027,4.176,4.29,4.379,4.452,4.852
235.0,246.0,2.034,2.067,2.142,2.206,2.26,2.309,2.353,2.394,2.435,2.476,2.517,2.558,2.809,3.033,3.217,3.369,3.624,3.841,4.022,4.167,4.277,4.364,4.435,4.823
235.0,247.0,2.099,2.129,2.202,2.263,2.315,2.361,2.404,2.444,2.483,2.522,2.561,2.601,2.842,3.059,3.236,3.384,3.631,3.841,4.017,4.157,4.265,4.349,4.418,4.795
236.0,237.0,1.564,1.539,1.607,1.656,1.693,1.722,1.746,1.769,1.793,1.819,1.849,1.881,2.127,2.384,2.61,2.804,3.135,3.419,3.658,3.852,4.008,4.136,4.246,4.829
236.0,238.0,1.587,1.563,1.63,1.68,1.717,1.745,1.77,1.793,1.817,1.843,1.873,1.905,2.148,2.401,2.623,2.814,3.139,3.418,3.653,3.844,3.997,4.123,4.23,4.801
236.0,239.0,1.613,1.59,1.657,1.706,1.743,1.771,1.795,1.818,1.842,1.868,1.897,1.93,2.169,2.418,2.636,2.823,3.143,3.417,3.648,3.835,3.985,4.108,4.214,4.774
236.0,240.0,1.642,1.62,1.686,1.734,1.77,1.798,1.822,1.845,1.868,1.894,1.923,1.954,2.189,2.434,2.648,2.832,3.146,3.415,3.641,3.825,3.972,4.093,4.197,4.746
236.0,241.0,1.673,1.651,1.716,1.763,1.798,1.826,1.849,1.872,1.895,1.92,1.948,1.979,2.21,2.45,2.66,2.841,3.148,3.412,3.635,3.815,3.959,4.078,4.18,4.719
236.0,242.0,1.705,1.684,1.747,1.793,1.828,1.854,1.877,1.899,1.921,1.946,1.974,2.004,2.23,2.466,2.671,2.848,3.15,3.409,3.627,3.804,3.946,4.063,4.162,4.692
236.0,243.0,1.738,1.717,1.779,1.824,1.857,1.883,1.905,1.926,1.948,1.972,1.999,2.029,2.25,2.481,2.682,2.856,3.152,3.406,3.62,3.793,3.932,4.047,4.145,4.664
236.0,244.0,1.773,1.751,1.811,1.855,1.887,1.912,1.934,1.954,1.975,1.998,2.024,2.053,2.269,2.495,2.693,2.863,3.153,3.402,3.612,3.782,3.919,4.031,4.127,4.638
236.0,245.0,1.807,1.785,1.843,1.886,1.917,1.941,1.962,1.981,2.002,2.024,2.049,2.077,2.288,2.509,2.702,2.869,3.154,3.398,3.604,3.771,3.905,4.015,4.11,4.611
236.0,246.0,1.842,1.819,1.876,1.917,1.947,1.97,1.99,2.008,2.028,2.049,2.074,2.101,2.306,2.522,2.712,2.875,3.154,3.393,3.595,3.759,3.891,3.999,4.092,4.584
236.0,247.0,1.876,1.853,1.908,1.948,1.977,1.999,2.017,2.035,2.054,2.074,2.098,2.124,2.324,2.535,2.72,2.88,3.154,3.389,3.587,3.747,3.877,3.983,4.074,4.558
236.0,248.0,1.911,1.887,1.94,1.978,2.006,2.027,2.045,2.061,2.079,2.099,2.121,2.147,2.341,2.547,2.729,2.885,3.154,3.383,3.578,3.736,3.862,3.967,4.057,4.532
237.0,238.0,1.744,1.739,1.809,1.862,1.904,1.939,1.969,1.998,2.027,2.057,2.09,2.124,2.362,2.597,2.798,2.969,3.259,3.507,3.715,3.884,4.017,4.126,4.219,4.71
237.0,239.0,1.802,1.795,1.861,1.912,1.951,1.984,2.012,2.039,2.066,2.095,2.125,2.158,2.387,2.615,2.81,2.977,3.259,3.501,3.705,3.869,4.0,4.107,4.198,4.679
237.0,240.0,1.857,1.847,1.911,1.959,1.996,2.027,2.053,2.078,2.103,2.13,2.159,2.191,2.411,2.632,2.822,2.984,3.26,3.496,3.695,3.855,3.984,4.088,4.177,4.649
237.0,241.0,1.909,1.898,1.958,2.004,2.039,2.067,2.092,2.115,2.139,2.164,2.192,2.222,2.433,2.648,2.833,2.991,3.26,3.49,3.684,3.842,3.967,4.069,4.157,4.62
237.0,242.0,1.959,1.946,2.003,2.047,2.08,2.106,2.129,2.151,2.173,2.197,2.223,2.251,2.455,2.663,2.843,2.997,3.259,3.484,3.674,3.828,3.951,4.051,4.137,4.591
237.0,243.0,2.007,1.991,2.047,2.088,2.119,2.143,2.165,2.185,2.205,2.228,2.252,2.279,2.475,2.677,2.852,3.003,3.258,3.478,3.663,3.814,3.934,4.033,4.117,4.563
237.0,244.0,2.053,2.035,2.088,2.127,2.156,2.179,2.199,2.217,2.236,2.257,2.281,2.306,2.495,2.69,2.861,3.008,3.257,3.472,3.653,3.8,3.918,4.015,4.097,4.535
237.0,245.0,2.096,2.077,2.128,2.164,2.192,2.213,2.231,2.248,2.266,2.286,2.308,2.332,2.513,2.703,2.869,3.012,3.256,3.465,3.643,3.787,3.902,3.997,4.078,4.507
237.0,246.0,2.138,2.118,2.166,2.2,2.226,2.246,2.262,2.278,2.294,2.313,2.333,2.356,2.531,2.715,2.877,3.016,3.254,3.459,3.632,3.773,3.886,3.979,4.058,4.48
237.0,247.0,2.178,2.156,2.202,2.235,2.259,2.277,2.292,2.306,2.322,2.339,2.358,2.38,2.548,2.727,2.884,3.02,3.253,3.452,3.622,3.76,3.87,3.961,4.039,4.454
237.0,248.0,2.217,2.194,2.237,2.268,2.29,2.307,2.32,2.334,2.348,2.363,2.382,2.402,2.564,2.737,2.891,3.023,3.25,3.446,3.611,3.746,3.855,3.944,4.021,4.427
237.0,249.0,2.254,2.229,2.271,2.3,2.32,2.335,2.348,2.36,2.373,2.387,2.404,2.424,2.579,2.747,2.897,3.026,3.248,3.439,3.601,3.733,3.839,3.927,4.002,4.401
238.0,239.0,1.928,1.899,1.949,1.985,2.012,2.033,2.05,2.067,2.085,2.105,2.127,2.153,2.347,2.558,2.744,2.905,3.181,3.421,3.626,3.792,3.925,4.033,4.124,4.624
238.0,240.0,1.932,1.908,1.959,1.997,2.026,2.048,2.068,2.086,2.105,2.127,2.15,2.176,2.372,2.58,2.763,2.921,3.191,3.425,3.625,3.787,3.916,4.02,4.108,4.592
238.0,241.0,1.943,1.923,1.975,2.014,2.044,2.068,2.089,2.108,2.129,2.151,2.175,2.202,2.398,2.603,2.782,2.936,3.2,3.428,3.623,3.781,3.906,4.007,4.093,4.561
238.0,242.0,1.961,1.944,1.997,2.036,2.067,2.092,2.113,2.134,2.155,2.178,2.202,2.229,2.424,2.625,2.801,2.951,3.209,3.431,3.621,3.774,3.896,3.994,4.077,4.53
238.0,243.0,1.983,1.97,2.022,2.062,2.093,2.118,2.14,2.161,2.183,2.206,2.231,2.258,2.45,2.647,2.819,2.966,3.217,3.433,3.618,3.767,3.885,3.981,4.061,4.499
238.0,244.0,2.011,1.999,2.051,2.09,2.121,2.147,2.169,2.19,2.212,2.235,2.26,2.287,2.476,2.669,2.837,2.98,3.224,3.435,3.614,3.76,3.874,3.967,4.044,4.47
238.0,245.0,2.041,2.031,2.082,2.121,2.152,2.177,2.2,2.221,2.243,2.265,2.29,2.316,2.502,2.691,2.854,2.993,3.231,3.436,3.61,3.752,3.863,3.953,4.028,4.44
238.0,246.0,2.075,2.066,2.116,2.154,2.185,2.21,2.232,2.253,2.274,2.296,2.32,2.346,2.528,2.712,2.87,3.006,3.237,3.436,3.606,3.743,3.852,3.938,4.011,4.412
238.0,247.0,2.111,2.102,2.151,2.188,2.218,2.243,2.264,2.285,2.306,2.328,2.351,2.376,2.553,2.732,2.886,3.018,3.243,3.436,3.601,3.735,3.84,3.924,3.995,4.384
238.0,248.0,2.148,2.14,2.187,2.224,2.253,2.276,2.297,2.317,2.337,2.359,2.382,2.406,2.578,2.751,2.901,3.03,3.248,3.436,3.596,3.725,3.828,3.91,3.979,4.356
238.0,249.0,2.187,2.179,2.225,2.26,2.288,2.311,2.331,2.35,2.369,2.39,2.412,2.436,2.602,2.77,2.916,3.04,3.252,3.435,3.59,3.716,3.815,3.895,3.962,4.329
238.0,250.0,2.227,2.219,2.262,2.296,2.323,2.345,2.364,2.382,2.401,2.421,2.442,2.465,2.625,2.788,2.929,3.05,3.256,3.433,3.584,3.707,3.803,3.881,3.946,4.303
239.0,240.0,2.15,2.162,2.228,2.282,2.326,2.364,2.398,2.431,2.463,2.496,2.529,2.565,2.792,3.006,3.186,3.338,3.594,3.813,3.999,4.149,4.266,4.359,4.436,4.857
239.0,241.0,2.192,2.204,2.269,2.321,2.365,2.402,2.436,2.468,2.499,2.531,2.565,2.599,2.821,3.03,3.205,3.352,3.601,3.814,3.995,4.141,4.254,4.344,4.419,4.827
239.0,242.0,2.235,2.248,2.311,2.362,2.404,2.441,2.474,2.505,2.536,2.567,2.6,2.633,2.849,3.052,3.222,3.366,3.607,3.814,3.99,4.132,4.242,4.329,4.402,4.798
239.0,243.0,2.28,2.292,2.353,2.403,2.444,2.48,2.512,2.542,2.572,2.602,2.634,2.667,2.876,3.074,3.239,3.378,3.613,3.814,3.985,4.122,4.23,4.314,4.385,4.769
239.0,244.0,2.326,2.337,2.396,2.444,2.484,2.518,2.549,2.579,2.608,2.637,2.668,2.699,2.903,3.094,3.255,3.39,3.618,3.813,3.979,4.113,4.217,4.299,4.368,4.741
239.0,245.0,2.371,2.382,2.439,2.486,2.524,2.557,2.587,2.615,2.643,2.672,2.701,2.732,2.928,3.114,3.27,3.401,3.622,3.812,3.973,4.103,4.204,4.284,4.351,4.714
239.0,246.0,2.417,2.427,2.482,2.527,2.563,2.595,2.624,2.651,2.678,2.705,2.733,2.763,2.953,3.133,3.284,3.411,3.626,3.81,3.967,4.093,4.191,4.269,4.334,4.687
239.0,247.0,2.463,2.471,2.524,2.567,2.602,2.633,2.66,2.686,2.711,2.737,2.765,2.793,2.976,3.15,3.297,3.42,3.628,3.807,3.96,4.082,4.178,4.254,4.317,4.661
239.0,248.0,2.509,2.515,2.566,2.607,2.641,2.669,2.695,2.72,2.744,2.769,2.795,2.822,2.998,3.167,3.308,3.428,3.631,3.804,3.952,4.071,4.164,4.238,4.3,4.636
239.0,249.0,2.553,2.558,2.607,2.646,2.678,2.705,2.729,2.753,2.776,2.799,2.824,2.85,3.019,3.182,3.32,3.436,3.632,3.801,3.944,4.06,4.151,4.223,4.283,4.61
239.0,250.0,2.597,2.6,2.647,2.684,2.714,2.74,2.763,2.785,2.806,2.829,2.852,2.877,3.039,3.196,3.33,3.442,3.633,3.797,3.936,4.049,4.137,4.207,4.266,4.586
239.0,251.0,2.64,2.642,2.686,2.721,2.749,2.773,2.795,2.815,2.836,2.857,2.879,2.902,3.058,3.21,3.339,3.448,3.633,3.793,3.928,4.038,4.124,4.192,4.249,4.562
240.0,241.0,2.22,2.251,2.317,2.372,2.419,2.461,2.5,2.536,2.571,2.607,2.642,2.678,2.893,3.084,3.238,3.367,3.581,3.765,3.919,4.043,4.138,4.212,4.273,4.602
240.0,242.0,2.293,2.32,2.382,2.434,2.479,2.518,2.553,2.587,2.62,2.653,2.686,2.72,2.924,3.106,3.255,3.378,3.585,3.762,3.912,4.031,4.123,4.195,4.255,4.575
240.0,243.0,2.363,2.386,2.445,2.493,2.535,2.571,2.604,2.635,2.666,2.696,2.727,2.759,2.952,3.126,3.27,3.389,3.588,3.759,3.904,4.019,4.109,4.179,4.237,4.55
240.0,244.0,2.43,2.449,2.504,2.549,2.588,2.621,2.652,2.68,2.709,2.737,2.766,2.796,2.979,3.145,3.283,3.398,3.59,3.755,3.895,4.007,4.094,4.162,4.219,4.524
