Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
231.0,232.0,0.831,0.86,0.891,0.922,0.954,0.986,1.019,1.052,1.086,1.12,1.155,1.19,1.406,1.626,1.846,2.061,2.472,2.846,3.179,3.473,3.731,3.955,4.151,4.82
231.0,233.0,0.821,0.856,0.892,0.928,0.965,1.002,1.04,1.078,1.116,1.155,1.194,1.233,1.469,1.705,1.937,2.162,2.584,2.963,3.297,3.589,3.843,4.063,4.254,4.902
231.0,234.0,0.827,0.867,0.907,0.948,0.988,1.03,1.071,1.113,1.155,1.197,1.239,1.281,1.534,1.784,2.027,2.26,2.692,3.074,3.409,3.699,3.949,4.165,4.352,4.978
231.0,235.0,0.844,0.887,0.93,0.974,1.018,1.062,1.106,1.151,1.195,1.24,1.284,1.329,1.594,1.854,2.104,2.343,2.781,3.166,3.5,3.788,4.035,4.247,4.429,5.037
231.0,236.0,0.868,0.913,0.959,1.004,1.05,1.097,1.143,1.189,1.235,1.282,1.328,1.374,1.648,1.914,2.169,2.411,2.853,3.239,3.571,3.856,4.1,4.308,4.487,5.08
231.0,237.0,0.896,0.943,0.99,1.037,1.084,1.132,1.179,1.227,1.274,1.321,1.369,1.416,1.695,1.965,2.223,2.467,2.91,3.295,3.626,3.908,4.149,4.354,4.53,5.112
231.0,238.0,0.927,0.975,1.023,1.071,1.119,1.167,1.215,1.264,1.312,1.36,1.408,1.455,1.738,2.009,2.268,2.513,2.957,3.34,3.669,3.948,4.186,4.389,4.563,5.134
231.0,239.0,0.96,1.008,1.057,1.105,1.154,1.202,1.251,1.3,1.348,1.396,1.445,1.493,1.776,2.049,2.308,2.553,2.995,3.377,3.703,3.98,4.216,4.417,4.588,5.152
231.0,240.0,0.994,1.042,1.091,1.14,1.189,1.237,1.286,1.335,1.384,1.432,1.48,1.529,1.812,2.085,2.344,2.588,3.028,3.408,3.731,4.006,4.24,4.439,4.608,5.165
231.0,241.0,1.028,1.077,1.126,1.174,1.223,1.272,1.321,1.37,1.418,1.467,1.515,1.563,1.847,2.118,2.376,2.619,3.058,3.435,3.756,4.029,4.261,4.457,4.625,5.176
