Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
231.0,232.0,0.867,0.833,0.912,0.96,0.988,1.006,1.019,1.033,1.049,1.069,1.092,1.119,1.325,1.561,1.801,2.036,2.469,2.839,3.15,3.415,3.645,3.848,4.027,4.796
231.0,233.0,0.827,0.799,0.882,0.935,0.967,0.99,1.008,1.026,1.046,1.069,1.095,1.124,1.339,1.577,1.817,2.051,2.48,2.846,3.153,3.413,3.639,3.837,4.013,4.768
231.0,234.0,0.803,0.781,0.867,0.923,0.959,0.985,1.006,1.027,1.05,1.075,1.103,1.134,1.355,1.594,1.833,2.065,2.49,2.851,3.153,3.409,3.631,3.826,3.999,4.739
231.0,235.0,0.794,0.776,0.864,0.922,0.961,0.989,1.013,1.036,1.06,1.087,1.117,1.149,1.372,1.612,1.849,2.078,2.498,2.854,3.152,3.404,3.622,3.813,3.983,4.709
231.0,236.0,0.796,0.781,0.87,0.929,0.97,1.0,1.025,1.05,1.076,1.104,1.134,1.167,1.392,1.63,1.864,2.091,2.506,2.856,3.149,3.397,3.611,3.799,3.966,4.68
231.0,237.0,0.807,0.794,0.883,0.943,0.985,1.016,1.042,1.068,1.095,1.123,1.154,1.188,1.412,1.648,1.88,2.104,2.512,2.858,3.146,3.39,3.6,3.785,3.949,4.65
231.0,238.0,0.825,0.813,0.902,0.962,1.004,1.036,1.063,1.089,1.116,1.145,1.177,1.21,1.433,1.666,1.895,2.116,2.518,2.858,3.142,3.382,3.589,3.77,3.931,4.62
231.0,239.0,0.848,0.837,0.925,0.985,1.027,1.059,1.086,1.113,1.14,1.169,1.2,1.233,1.454,1.684,1.91,2.128,2.524,2.858,3.137,3.373,3.577,3.755,3.914,4.591
231.0,240.0,0.874,0.864,0.952,1.011,1.053,1.085,1.112,1.138,1.165,1.194,1.225,1.258,1.476,1.703,1.925,2.139,2.528,2.858,3.132,3.364,3.564,3.74,3.895,4.561
231.0,241.0,0.904,0.895,0.981,1.039,1.081,1.112,1.139,1.165,1.191,1.22,1.25,1.283,1.498,1.72,1.939,2.149,2.533,2.856,3.126,3.354,3.551,3.724,3.877,4.532
231.0,242.0,0.936,0.927,1.011,1.069,1.11,1.14,1.167,1.192,1.218,1.246,1.276,1.308,1.519,1.738,1.953,2.16,2.536,2.855,3.12,3.345,3.538,3.708,3.859,4.503
231.0,243.0,0.97,0.96,1.043,1.1,1.139,1.169,1.195,1.22,1.246,1.273,1.302,1.333,1.54,1.755,1.966,2.169,2.54,2.853,3.114,3.335,3.525,3.693,3.841,4.474
232.0,233.0,0.927,0.935,1.056,1.145,1.217,1.281,1.342,1.405,1.468,1.532,1.598,1.663,2.037,2.361,2.643,2.893,3.318,3.662,3.942,4.176,4.375,4.549,4.702,5.397
232.0,234.0,1.012,1.016,1.131,1.215,1.283,1.343,1.402,1.461,1.522,1.585,1.648,1.712,2.077,2.394,2.669,2.912,3.326,3.662,3.936,4.165,4.362,4.533,4.684,5.371
232.0,235.0,1.09,1.089,1.199,1.279,1.343,1.4,1.456,1.514,1.573,1.633,1.695,1.757,2.115,2.425,2.693,2.931,3.335,3.662,3.931,4.156,4.349,4.517,4.666,5.345
232.0,236.0,1.161,1.156,1.262,1.338,1.399,1.453,1.507,1.562,1.62,1.679,1.739,1.8,2.151,2.455,2.717,2.948,3.342,3.663,3.926,4.147,4.337,4.503,4.649,5.32
232.0,237.0,1.227,1.218,1.32,1.393,1.451,1.503,1.554,1.608,1.664,1.721,1.78,1.84,2.185,2.483,2.739,2.965,3.35,3.663,3.921,4.138,4.325,4.489,4.633,5.296
232.0,238.0,1.288,1.276,1.374,1.444,1.499,1.549,1.599,1.651,1.705,1.761,1.819,1.878,2.217,2.509,2.76,2.982,3.358,3.664,3.917,4.13,4.314,4.475,4.617,5.272
232.0,239.0,1.345,1.33,1.425,1.492,1.545,1.593,1.641,1.691,1.744,1.799,1.856,1.914,2.247,2.534,2.78,2.997,3.365,3.664,3.913,4.122,4.303,4.462,4.602,5.249
232.0,240.0,1.399,1.381,1.473,1.537,1.588,1.634,1.68,1.729,1.781,1.835,1.891,1.948,2.276,2.558,2.8,3.012,3.371,3.665,3.908,4.114,4.292,4.449,4.587,5.226
232.0,241.0,1.45,1.43,1.518,1.58,1.628,1.673,1.718,1.766,1.817,1.87,1.924,1.98,2.303,2.581,2.818,3.026,3.378,3.665,3.904,4.107,4.282,4.436,4.572,5.203
232.0,242.0,1.498,1.475,1.561,1.62,1.667,1.71,1.754,1.801,1.85,1.902,1.956,2.011,2.329,2.603,2.835,3.039,3.384,3.665,3.9,4.099,4.271,4.423,4.558,5.181
232.0,243.0,1.543,1.519,1.602,1.659,1.704,1.746,1.789,1.834,1.883,1.934,1.987,2.041,2.354,2.623,2.852,3.052,3.389,3.665,3.896,4.091,4.261,4.411,4.543,5.159
232.0,244.0,1.587,1.561,1.641,1.697,1.74,1.78,1.822,1.866,1.914,1.964,2.016,2.069,2.378,2.643,2.868,3.064,3.394,3.665,3.891,4.084,4.251,4.398,4.529,5.138
233.0,234.0,1.136,1.149,1.261,1.355,1.436,1.509,1.578,1.646,1.712,1.778,1.842,1.905,2.258,2.58,2.877,3.142,3.56,3.864,4.101,4.303,4.488,4.659,4.818,5.492
233.0,235.0,1.274,1.28,1.384,1.469,1.542,1.608,1.67,1.731,1.792,1.852,1.911,1.97,2.305,2.614,2.901,3.156,3.561,3.856,4.087,4.285,4.466,4.635,4.79,5.453
233.0,236.0,1.391,1.391,1.487,1.566,1.632,1.692,1.749,1.804,1.86,1.916,1.971,2.027,2.346,2.644,2.921,3.168,3.561,3.849,4.075,4.269,4.447,4.612,4.765,5.416
233.0,237.0,1.489,1.485,1.576,1.648,1.709,1.764,1.816,1.868,1.919,1.971,2.024,2.076,2.382,2.67,2.939,3.179,3.562,3.842,4.064,4.254,4.429,4.591,4.742,5.381
233.0,238.0,1.574,1.567,1.652,1.72,1.777,1.827,1.875,1.923,1.971,2.02,2.07,2.12,2.414,2.694,2.955,3.189,3.562,3.836,4.053,4.241,4.412,4.572,4.719,5.347
233.0,239.0,1.648,1.638,1.719,1.783,1.835,1.882,1.927,1.972,2.018,2.064,2.111,2.159,2.443,2.715,2.97,3.198,3.563,3.831,4.043,4.227,4.396,4.553,4.698,5.315
233.0,240.0,1.713,1.7,1.777,1.838,1.887,1.931,1.973,2.016,2.059,2.103,2.148,2.194,2.469,2.734,2.983,3.206,3.563,3.825,4.034,4.215,4.38,4.535,4.677,5.284
