Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
231.0,232.0,0.818,0.815,0.887,0.937,0.971,0.994,1.011,1.027,1.044,1.064,1.087,1.113,1.329,1.577,1.814,2.036,2.444,2.817,3.149,3.435,3.673,3.869,4.033,4.792
231.0,233.0,0.748,0.756,0.835,0.891,0.931,0.961,0.985,1.007,1.03,1.054,1.082,1.112,1.344,1.599,1.838,2.059,2.464,2.832,3.16,3.442,3.675,3.866,4.026,4.764
231.0,234.0,0.695,0.714,0.798,0.86,0.905,0.94,0.97,0.997,1.024,1.053,1.084,1.118,1.363,1.623,1.863,2.083,2.484,2.847,3.17,3.447,3.676,3.863,4.018,4.737
231.0,235.0,0.659,0.687,0.774,0.84,0.891,0.93,0.964,0.995,1.026,1.059,1.093,1.13,1.385,1.648,1.889,2.107,2.503,2.861,3.18,3.451,3.676,3.859,4.01,4.71
231.0,236.0,0.637,0.671,0.762,0.832,0.886,0.929,0.966,1.001,1.035,1.07,1.107,1.146,1.41,1.675,1.914,2.131,2.522,2.875,3.188,3.455,3.675,3.854,4.002,4.684
231.0,237.0,0.627,0.667,0.76,0.833,0.889,0.936,0.976,1.013,1.05,1.087,1.126,1.167,1.436,1.702,1.94,2.155,2.54,2.887,3.196,3.458,3.673,3.849,3.993,4.658
231.0,238.0,0.627,0.672,0.767,0.841,0.9,0.949,0.991,1.031,1.069,1.109,1.149,1.191,1.464,1.73,1.966,2.178,2.558,2.9,3.203,3.46,3.671,3.843,3.984,4.633
231.0,239.0,0.636,0.685,0.781,0.856,0.917,0.967,1.012,1.053,1.093,1.133,1.175,1.218,1.494,1.758,1.992,2.201,2.575,2.911,3.209,3.462,3.669,3.837,3.974,4.609
231.0,240.0,0.653,0.704,0.801,0.877,0.939,0.991,1.036,1.079,1.12,1.161,1.204,1.247,1.524,1.787,2.018,2.224,2.592,2.922,3.215,3.463,3.666,3.83,3.965,4.585
231.0,241.0,0.676,0.73,0.826,0.903,0.966,1.018,1.064,1.108,1.15,1.192,1.235,1.279,1.555,1.816,2.044,2.247,2.608,2.933,3.22,3.463,3.662,3.823,3.955,4.561
231.0,242.0,0.705,0.76,0.856,0.933,0.996,1.049,1.095,1.139,1.181,1.224,1.267,1.311,1.586,1.844,2.069,2.269,2.624,2.943,3.224,3.463,3.658,3.816,3.945,4.538
231.0,243.0,0.738,0.793,0.889,0.966,1.029,1.082,1.129,1.173,1.215,1.258,1.301,1.345,1.618,1.872,2.094,2.29,2.639,2.952,3.228,3.463,3.654,3.808,3.935,4.515
232.0,233.0,0.883,0.94,1.056,1.15,1.228,1.297,1.359,1.418,1.477,1.537,1.597,1.659,2.033,2.366,2.645,2.886,3.305,3.668,3.974,4.22,4.415,4.574,4.708,5.346
232.0,234.0,0.964,1.019,1.132,1.223,1.3,1.366,1.427,1.485,1.542,1.599,1.658,1.718,2.083,2.408,2.68,2.914,3.323,3.678,3.978,4.218,4.409,4.564,4.696,5.32
232.0,235.0,1.043,1.096,1.206,1.295,1.37,1.434,1.493,1.549,1.604,1.66,1.718,1.776,2.131,2.447,2.712,2.941,3.341,3.688,3.98,4.215,4.402,4.554,4.683,5.294
232.0,236.0,1.12,1.172,1.278,1.365,1.437,1.5,1.557,1.611,1.665,1.72,1.775,1.832,2.177,2.485,2.744,2.967,3.357,3.696,3.982,4.212,4.395,4.544,4.67,5.268
232.0,237.0,1.196,1.245,1.349,1.433,1.503,1.564,1.619,1.672,1.724,1.777,1.831,1.886,2.221,2.522,2.774,2.992,3.372,3.704,3.983,4.209,4.387,4.533,4.657,5.243
232.0,238.0,1.269,1.317,1.418,1.5,1.568,1.626,1.68,1.731,1.781,1.832,1.885,1.938,2.264,2.556,2.802,3.015,3.387,3.711,3.984,4.204,4.38,4.522,4.643,5.218
232.0,239.0,1.341,1.386,1.484,1.564,1.63,1.687,1.738,1.788,1.837,1.886,1.937,1.988,2.305,2.59,2.829,3.037,3.4,3.717,3.984,4.2,4.371,4.511,4.63,5.193
232.0,240.0,1.41,1.453,1.549,1.626,1.69,1.745,1.795,1.843,1.89,1.938,1.987,2.037,2.345,2.622,2.855,3.058,3.413,3.723,3.984,4.195,4.363,4.5,4.617,5.168
232.0,241.0,1.477,1.519,1.612,1.686,1.748,1.801,1.85,1.896,1.941,1.988,2.035,2.083,2.382,2.652,2.88,3.078,3.425,3.727,3.983,4.19,4.355,4.489,4.603,5.144
232.0,242.0,1.543,1.582,1.672,1.745,1.805,1.856,1.903,1.947,1.991,2.036,2.081,2.128,2.419,2.682,2.903,3.096,3.435,3.732,3.982,4.185,4.346,4.478,4.59,5.121
232.0,243.0,1.606,1.643,1.731,1.801,1.859,1.909,1.953,1.996,2.039,2.082,2.126,2.172,2.454,2.709,2.926,3.114,3.446,3.735,3.981,4.179,4.337,4.466,4.576,5.097
232.0,244.0,1.667,1.702,1.787,1.855,1.911,1.959,2.002,2.044,2.085,2.126,2.169,2.213,2.487,2.736,2.947,3.131,3.455,3.738,3.979,4.173,4.328,4.455,4.563,5.074
233.0,234.0,0.984,1.04,1.173,1.286,1.382,1.465,1.54,1.609,1.675,1.739,1.803,1.867,2.25,2.6,2.893,3.138,3.543,3.881,4.161,4.386,4.564,4.707,4.828,5.465
233.0,235.0,1.039,1.098,1.23,1.342,1.437,1.521,1.596,1.666,1.732,1.796,1.86,1.924,2.305,2.65,2.937,3.177,3.573,3.903,4.177,4.396,4.568,4.708,4.826,5.443
233.0,236.0,1.099,1.159,1.29,1.401,1.496,1.58,1.655,1.724,1.79,1.855,1.918,1.981,2.358,2.698,2.98,3.215,3.602,3.924,4.192,4.405,4.573,4.708,4.822,5.422
233.0,237.0,1.163,1.224,1.353,1.463,1.557,1.64,1.715,1.784,1.849,1.913,1.976,2.039,2.411,2.745,3.021,3.251,3.63,3.944,4.205,4.413,4.576,4.707,4.819,5.401
233.0,238.0,1.23,1.292,1.418,1.526,1.62,1.701,1.775,1.844,1.909,1.972,2.034,2.096,2.463,2.79,3.061,3.286,3.656,3.963,4.217,4.42,4.578,4.706,4.814,5.381
233.0,239.0,1.3,1.361,1.485,1.591,1.683,1.764,1.836,1.904,1.968,2.03,2.092,2.153,2.513,2.834,3.099,3.319,3.68,3.98,4.228,4.426,4.58,4.705,4.81,5.361
233.0,240.0,1.37,1.431,1.553,1.657,1.747,1.826,1.897,1.964,2.027,2.088,2.149,2.209,2.562,2.877,3.136,3.351,3.704,3.996,4.239,4.431,4.581,4.703,4.805,5.342
233.0,241.0,1.442,1.501,1.62,1.722,1.81,1.888,1.958,2.023,2.085,2.145,2.205,2.263,2.61,2.917,3.171,3.381,3.726,4.012,4.248,4.435,4.582,4.7,4.8,5.323
233.0,242.0,1.514,1.572,1.688,1.788,1.874,1.95,2.018,2.082,2.143,2.201,2.259,2.317,2.656,2.957,3.204,3.41,3.746,4.026,4.256,4.439,4.582,4.697,4.794,5.305
233.0,243.0,1.586,1.642,1.756,1.853,1.937,2.011,2.078,2.14,2.199,2.256,2.313,2.369,2.7,2.994,3.236,3.437,3.766,4.038,4.263,4.442,4.581,4.694,4.789,5.287
233.0,244.0,1.657,1.711,1.822,1.917,1.998,2.071,2.136,2.196,2.254,2.31,2.365,2.42,2.743,3.03,3.267,3.463,3.784,4.05,4.27,4.444,4.58,4.69,4.783,5.27
233.0,245.0,1.727,1.78,1.888,1.98,2.059,2.129,2.193,2.251,2.307,2.362,2.416,2.469,2.784,3.065,3.295,3.487,3.801,4.061,4.276,4.446,4.579,4.686,4.776,5.253
234.0,235.0,1.167,1.236,1.369,1.483,1.581,1.667,1.743,1.813,1.879,1.941,2.002,2.062,2.408,2.713,2.967,3.178,3.531,3.836,4.103,4.326,4.505,4.646,4.76,5.345
