Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
231.0,232.0,0.818,0.829,0.886,0.929,0.962,0.988,1.01,1.03,1.05,1.073,1.098,1.126,1.34,1.578,1.809,2.034,2.457,2.836,3.16,3.425,3.635,3.796,3.994,4.873
231.0,233.0,0.757,0.78,0.841,0.89,0.929,0.961,0.988,1.013,1.039,1.066,1.096,1.128,1.358,1.599,1.831,2.053,2.471,2.844,3.163,3.424,3.63,3.788,3.985,4.849
231.0,234.0,0.718,0.75,0.815,0.868,0.911,0.947,0.978,1.007,1.037,1.068,1.101,1.136,1.376,1.621,1.851,2.072,2.484,2.851,3.165,3.422,3.624,3.779,3.974,4.823
231.0,235.0,0.697,0.735,0.803,0.859,0.904,0.943,0.978,1.01,1.042,1.076,1.111,1.148,1.396,1.642,1.871,2.089,2.495,2.857,3.166,3.418,3.617,3.769,3.961,4.796
231.0,236.0,0.689,0.733,0.802,0.859,0.907,0.948,0.985,1.019,1.053,1.089,1.126,1.164,1.417,1.662,1.889,2.105,2.506,2.862,3.165,3.414,3.609,3.758,3.948,4.769
231.0,237.0,0.692,0.739,0.809,0.868,0.917,0.959,0.997,1.033,1.069,1.105,1.143,1.183,1.438,1.683,1.907,2.12,2.515,2.866,3.164,3.409,3.601,3.747,3.934,4.741
231.0,238.0,0.703,0.752,0.823,0.882,0.932,0.975,1.014,1.051,1.087,1.124,1.163,1.203,1.459,1.702,1.924,2.134,2.523,2.869,3.163,3.403,3.592,3.735,3.92,4.713
231.0,239.0,0.72,0.77,0.841,0.9,0.95,0.994,1.033,1.071,1.108,1.145,1.184,1.225,1.48,1.721,1.941,2.147,2.531,2.871,3.161,3.397,3.582,3.723,3.905,4.685
231.0,240.0,0.742,0.793,0.863,0.922,0.972,1.016,1.056,1.093,1.13,1.168,1.207,1.247,1.501,1.739,1.956,2.16,2.538,2.873,3.158,3.39,3.572,3.711,3.889,4.656
231.0,241.0,0.767,0.818,0.888,0.946,0.996,1.04,1.079,1.117,1.154,1.191,1.23,1.27,1.521,1.757,1.971,2.172,2.545,2.875,3.155,3.383,3.562,3.698,3.874,4.628
231.0,242.0,0.795,0.845,0.914,0.972,1.022,1.065,1.104,1.141,1.178,1.215,1.254,1.293,1.542,1.774,1.985,2.184,2.551,2.876,3.152,3.376,3.552,3.686,3.858,4.6
231.0,243.0,0.825,0.874,0.942,0.999,1.048,1.091,1.129,1.166,1.203,1.239,1.277,1.316,1.562,1.791,1.999,2.194,2.557,2.877,3.148,3.369,3.542,3.673,3.842,4.572
232.0,233.0,0.913,0.986,1.07,1.146,1.217,1.282,1.345,1.407,1.469,1.532,1.596,1.66,2.038,2.361,2.634,2.878,3.311,3.677,3.976,4.209,4.385,4.516,4.697,5.392
232.0,234.0,1.004,1.07,1.15,1.223,1.289,1.351,1.41,1.469,1.527,1.587,1.647,1.709,2.072,2.386,2.653,2.894,3.32,3.68,3.974,4.203,4.377,4.504,4.681,5.365
232.0,235.0,1.085,1.145,1.222,1.291,1.354,1.413,1.469,1.525,1.58,1.637,1.695,1.753,2.104,2.41,2.672,2.908,3.328,3.683,3.972,4.198,4.368,4.493,4.667,5.34
232.0,236.0,1.157,1.213,1.287,1.353,1.413,1.469,1.523,1.576,1.629,1.683,1.738,1.795,2.134,2.433,2.69,2.923,3.336,3.686,3.97,4.192,4.36,4.483,4.652,5.316
232.0,237.0,1.223,1.274,1.345,1.409,1.467,1.521,1.572,1.622,1.673,1.725,1.779,1.833,2.163,2.455,2.708,2.937,3.344,3.688,3.969,4.187,4.351,4.472,4.639,5.292
232.0,238.0,1.283,1.33,1.399,1.461,1.517,1.568,1.617,1.666,1.715,1.765,1.817,1.869,2.19,2.476,2.725,2.95,3.352,3.691,3.967,4.182,4.343,4.462,4.625,5.269
232.0,239.0,1.338,1.382,1.449,1.509,1.563,1.612,1.66,1.707,1.754,1.802,1.852,1.903,2.216,2.496,2.741,2.963,3.359,3.693,3.965,4.176,4.335,4.452,4.612,5.246
232.0,240.0,1.389,1.431,1.496,1.554,1.606,1.654,1.699,1.745,1.791,1.837,1.886,1.935,2.24,2.516,2.756,2.975,3.365,3.695,3.962,4.171,4.327,4.442,4.599,5.223
232.0,241.0,1.436,1.476,1.539,1.595,1.646,1.692,1.737,1.781,1.825,1.871,1.918,1.966,2.264,2.534,2.771,2.987,3.372,3.697,3.96,4.165,4.319,4.431,4.586,5.201
232.0,242.0,1.481,1.518,1.58,1.635,1.684,1.729,1.772,1.815,1.858,1.902,1.948,1.995,2.287,2.552,2.785,2.998,3.378,3.698,3.957,4.159,4.31,4.421,4.573,5.179
232.0,243.0,1.523,1.558,1.619,1.672,1.72,1.764,1.806,1.847,1.889,1.932,1.976,2.022,2.308,2.569,2.799,3.009,3.383,3.699,3.954,4.153,4.302,4.411,4.56,5.158
232.0,244.0,1.563,1.596,1.655,1.707,1.754,1.797,1.837,1.878,1.918,1.96,2.004,2.049,2.329,2.585,2.812,3.019,3.388,3.699,3.951,4.147,4.293,4.4,4.547,5.137
233.0,234.0,1.057,1.147,1.244,1.324,1.399,1.474,1.547,1.62,1.691,1.76,1.828,1.894,2.268,2.592,2.867,3.107,3.52,3.863,4.138,4.354,4.521,4.648,4.822,5.493
