Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
231.0,232.0,0.816,0.797,0.883,0.941,0.98,1.004,1.019,1.03,1.041,1.053,1.07,1.09,1.297,1.565,1.823,2.056,2.469,2.837,3.158,3.427,3.648,3.835,3.998,4.826
231.0,233.0,0.746,0.739,0.831,0.896,0.94,0.97,0.991,1.008,1.024,1.042,1.062,1.087,1.308,1.582,1.841,2.073,2.484,2.848,3.165,3.43,3.647,3.829,3.988,4.796
231.0,234.0,0.699,0.701,0.797,0.866,0.915,0.95,0.976,0.997,1.017,1.038,1.062,1.09,1.322,1.599,1.858,2.09,2.497,2.858,3.171,3.431,3.644,3.822,3.977,4.766
231.0,235.0,0.67,0.679,0.778,0.85,0.903,0.941,0.97,0.995,1.018,1.042,1.069,1.099,1.339,1.618,1.876,2.106,2.509,2.866,3.175,3.43,3.639,3.813,3.964,4.736
231.0,236.0,0.656,0.671,0.771,0.846,0.901,0.941,0.973,1.0,1.026,1.052,1.081,1.112,1.358,1.637,1.894,2.122,2.521,2.873,3.178,3.428,3.632,3.803,3.951,4.706
231.0,237.0,0.654,0.673,0.774,0.85,0.907,0.949,0.983,1.012,1.039,1.067,1.097,1.129,1.378,1.657,1.912,2.137,2.532,2.88,3.179,3.425,3.625,3.792,3.937,4.675
231.0,238.0,0.663,0.685,0.786,0.862,0.92,0.963,0.998,1.028,1.057,1.085,1.116,1.149,1.4,1.677,1.929,2.152,2.542,2.885,3.18,3.421,3.617,3.78,3.922,4.645
231.0,239.0,0.68,0.703,0.804,0.88,0.938,0.982,1.018,1.049,1.078,1.107,1.138,1.172,1.422,1.697,1.947,2.167,2.552,2.89,3.18,3.416,3.608,3.767,3.906,4.615
231.0,240.0,0.703,0.728,0.828,0.904,0.961,1.006,1.041,1.073,1.102,1.131,1.163,1.197,1.446,1.718,1.964,2.181,2.561,2.894,3.178,3.411,3.598,3.754,3.891,4.584
231.0,241.0,0.733,0.758,0.856,0.931,0.988,1.032,1.068,1.099,1.128,1.158,1.189,1.222,1.469,1.738,1.981,2.195,2.569,2.897,3.177,3.404,3.588,3.741,3.874,4.554
