Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
231.0,232.0,0.935,0.841,0.894,0.928,0.948,0.959,0.965,0.972,0.981,0.995,1.014,1.04,1.289,1.58,1.848,2.093,2.536,2.916,3.228,3.471,3.655,3.789,3.952,4.649
231.0,233.0,0.861,0.781,0.841,0.881,0.907,0.924,0.936,0.948,0.962,0.981,1.005,1.035,1.297,1.591,1.858,2.1,2.536,2.91,3.216,3.456,3.636,3.768,3.93,4.615
231.0,234.0,0.81,0.742,0.805,0.85,0.881,0.902,0.919,0.935,0.953,0.975,1.002,1.035,1.307,1.602,1.867,2.106,2.535,2.903,3.204,3.439,3.617,3.746,3.907,4.581
231.0,235.0,0.777,0.718,0.784,0.832,0.866,0.891,0.911,0.93,0.951,0.976,1.005,1.04,1.318,1.613,1.875,2.111,2.534,2.895,3.191,3.422,3.597,3.724,3.883,4.546
231.0,236.0,0.758,0.706,0.774,0.825,0.861,0.888,0.91,0.931,0.954,0.981,1.012,1.048,1.33,1.624,1.882,2.115,2.531,2.886,3.177,3.405,3.576,3.702,3.858,4.511
231.0,237.0,0.75,0.704,0.773,0.825,0.862,0.891,0.915,0.938,0.962,0.99,1.023,1.059,1.342,1.634,1.89,2.119,2.528,2.877,3.163,3.387,3.556,3.679,3.834,4.475
231.0,238.0,0.751,0.708,0.778,0.831,0.869,0.899,0.924,0.948,0.974,1.002,1.035,1.072,1.355,1.644,1.896,2.122,2.524,2.868,3.149,3.369,3.535,3.656,3.809,4.44
231.0,239.0,0.758,0.719,0.789,0.841,0.881,0.911,0.937,0.961,0.987,1.016,1.049,1.087,1.368,1.654,1.902,2.124,2.52,2.858,3.135,3.351,3.514,3.634,3.784,4.404
231.0,240.0,0.771,0.733,0.803,0.855,0.895,0.926,0.952,0.976,1.003,1.032,1.065,1.102,1.381,1.663,1.908,2.127,2.516,2.848,3.121,3.333,3.494,3.611,3.759,4.369
231.0,241.0,0.787,0.751,0.82,0.872,0.911,0.942,0.968,0.993,1.019,1.048,1.081,1.118,1.394,1.672,1.913,2.128,2.512,2.838,3.106,3.315,3.473,3.588,3.734,4.334
