Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
231.0,232.0,0.845,0.858,0.873,0.891,0.912,0.934,0.959,0.985,1.013,1.043,1.074,1.106,1.319,1.553,1.794,2.032,2.48,2.875,3.212,3.496,3.734,3.933,4.101,4.635
231.0,233.0,0.745,0.768,0.793,0.82,0.849,0.879,0.911,0.945,0.979,1.015,1.052,1.089,1.328,1.579,1.83,2.074,2.526,2.918,3.249,3.526,3.758,3.951,4.113,4.63
231.0,234.0,0.663,0.694,0.728,0.762,0.798,0.836,0.874,0.913,0.954,0.995,1.036,1.078,1.34,1.605,1.866,2.115,2.57,2.959,3.286,3.558,3.784,3.973,4.131,4.633
231.0,235.0,0.596,0.635,0.675,0.717,0.759,0.802,0.846,0.89,0.935,0.981,1.027,1.073,1.354,1.632,1.901,2.155,2.613,3.001,3.324,3.592,3.814,3.998,4.153,4.643
231.0,236.0,0.542,0.588,0.634,0.681,0.728,0.776,0.825,0.874,0.923,0.972,1.022,1.071,1.369,1.658,1.934,2.193,2.654,3.041,3.362,3.627,3.845,4.027,4.179,4.659
231.0,237.0,0.499,0.55,0.601,0.653,0.705,0.757,0.81,0.862,0.915,0.968,1.021,1.073,1.385,1.685,1.967,2.23,2.694,3.081,3.4,3.662,3.878,4.058,4.207,4.68
231.0,238.0,0.466,0.521,0.576,0.632,0.688,0.744,0.8,0.856,0.912,0.967,1.023,1.078,1.403,1.711,1.999,2.265,2.733,3.12,3.438,3.698,3.913,4.09,4.239,4.706
231.0,239.0,0.44,0.499,0.558,0.617,0.676,0.736,0.794,0.853,0.912,0.97,1.028,1.085,1.42,1.736,2.029,2.299,2.77,3.158,3.476,3.735,3.948,4.125,4.272,4.735
231.0,240.0,0.42,0.483,0.545,0.607,0.669,0.731,0.792,0.853,0.914,0.974,1.034,1.094,1.438,1.761,2.059,2.332,2.806,3.196,3.513,3.772,3.985,4.16,4.306,4.767
231.0,241.0,0.406,0.471,0.536,0.601,0.665,0.729,0.793,0.856,0.919,0.981,1.042,1.104,1.457,1.785,2.087,2.363,2.842,3.232,3.55,3.809,4.021,4.197,4.342,4.801
